公司名称,公司所在地,发布时间,公司福利,公司规模,融资情况,职位类型,学历要求,职位福利,薪资,工作经验要求
广州微啸网络科技有限公司,高新区,09:28发布,"['""""']",50-150人,未融资,开发|测试|运维类,不限,"五险一金,带薪年假,周末双休,出国旅游",5k-8k,应届毕业生
成都聚思力信息技术有限公司,高新区,3天前发布,"['绩效奖金', '带薪年假', '交通补助', '午餐补助']",500-2000人,上市公司,开发|测试|运维类,本科,"六险一金,周末双休,java",3k-5k,应届毕业生
北京中油瑞飞信息技术有限责任公司,高新区,10:04发布,"['技能培训', '岗位晋升', '管理规范', '通讯津贴']",2000人以上,不需要融资,开发|测试|运维类,本科,"六险一金,医疗保险,绩效奖金,通讯补贴",6k-8k,应届毕业生
成都怪狗软件有限公司,青羊区,11:46发布,"['""""']",50-150人,未融资,开发|测试|运维类,大专,"年底双薪,周末双休",5k-8k,应届毕业生
成都生活之家装饰设计有限公司,武侯区,17:57发布,"['""""']",50-150人,不需要融资,开发|测试|运维类,不限,"不加班,提成绩效,聚餐聚会",3k-6k,应届毕业生
四川鼎华共创建筑装饰工程有限公司,高新区,2018-09-06,"['""""']",150-500人,不需要融资,开发|测试|运维类,本科,"五险一金,带薪年假,朝九晚六,周末双休",10k-20k,应届毕业生
成都京蜀文化传播有限公司,锦江区,3天前发布,"['""""']",15-50人,未融资,开发|测试|运维类,大专,"毕业生,应届生,提供住宿",3k-6k,应届毕业生
重庆宏雅教育信息咨询服务有限公司,锦江区,2天前发布,"['""""']",50-150人,天使轮,开发|测试|运维类,不限,"Java,应届生,实习生,包住",3k-6k,应届毕业生
重庆二的十次方科技有限公司,高新区,11:17发布,"['""""']",15-50人,未融资,开发|测试|运维类,本科,"名企高薪,晋升空间大",3k-5k,应届毕业生
成都热土科技有限公司,青羊区,2018-09-03,[],15-50人,不需要融资,开发|测试|运维类,大专,"福利好,环境佳,年终奖金,周末双休",4k-7k,应届毕业生
成都开心麻花游戏开发有限公司,青羊区,2天前发布,"['""""']",15-50人,未融资,开发|测试|运维类,大专,"大平台,升职快,五险一金",4k-6k,应届毕业生
成都冰鉴信息科技有限公司,高新区,3天前发布,"['带薪年假', '定期体检', '年度旅游', '金融科技']",150-500人,B轮,开发|测试|运维类,本科,"弹性工作,扁平管理,年度体检",8k-15k,应届毕业生
北京卡拉卡尔科技股份有限公司,高新区,10:39发布,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']",150-500人,不需要融资,开发|测试|运维类,本科,"五险一金,弹性上班,节日福利,年终奖",4k-6k,应届毕业生
四川天信恒讯科技有限公司,锦江区,08:53发布,"['""""']",50-150人,天使轮,开发|测试|运维类,大专,"双休,应届毕业生,提供住宿,全勤奖",4k-6k,应届毕业生
成都忠源电子科技有限公司,高新区,3天前发布,"['""""']",50-150人,未融资,开发|测试|运维类,大专,"五险一金,朝九晚六,带薪年假,周末双休",5k-8k,应届毕业生
广州微啸网络科技有限公司,高新区,09:28发布,"['""""']",50-150人,未融资,开发|测试|运维类,不限,"五险一金,带薪年假,周末双休,出国旅游",5k-8k,应届毕业生
成都聚思力信息技术有限公司,高新区,3天前发布,"['绩效奖金', '带薪年假', '交通补助', '午餐补助']",500-2000人,上市公司,开发|测试|运维类,本科,"六险一金,周末双休,java",3k-5k,应届毕业生
北京中油瑞飞信息技术有限责任公司,高新区,10:04发布,"['技能培训', '岗位晋升', '管理规范', '通讯津贴']",2000人以上,不需要融资,开发|测试|运维类,本科,"六险一金,医疗保险,绩效奖金,通讯补贴",6k-8k,应届毕业生
成都怪狗软件有限公司,青羊区,11:46发布,"['""""']",50-150人,未融资,开发|测试|运维类,大专,"年底双薪,周末双休",5k-8k,应届毕业生
成都生活之家装饰设计有限公司,武侯区,17:57发布,"['""""']",50-150人,不需要融资,开发|测试|运维类,不限,"不加班,提成绩效,聚餐聚会",3k-6k,应届毕业生
四川鼎华共创建筑装饰工程有限公司,高新区,2018-09-06,"['""""']",150-500人,不需要融资,开发|测试|运维类,本科,"五险一金,带薪年假,朝九晚六,周末双休",10k-20k,应届毕业生
成都京蜀文化传播有限公司,锦江区,3天前发布,"['""""']",15-50人,未融资,开发|测试|运维类,大专,"毕业生,应届生,提供住宿",3k-6k,应届毕业生
重庆宏雅教育信息咨询服务有限公司,锦江区,2天前发布,"['""""']",50-150人,天使轮,开发|测试|运维类,不限,"Java,应届生,实习生,包住",3k-6k,应届毕业生
重庆二的十次方科技有限公司,高新区,11:17发布,"['""""']",15-50人,未融资,开发|测试|运维类,本科,"名企高薪,晋升空间大",3k-5k,应届毕业生
成都热土科技有限公司,青羊区,2018-09-03,[],15-50人,不需要融资,开发|测试|运维类,大专,"福利好,环境佳,年终奖金,周末双休",4k-7k,应届毕业生
成都开心麻花游戏开发有限公司,青羊区,2天前发布,"['""""']",15-50人,未融资,开发|测试|运维类,大专,"大平台,升职快,五险一金",4k-6k,应届毕业生
成都冰鉴信息科技有限公司,高新区,3天前发布,"['带薪年假', '定期体检', '年度旅游', '金融科技']",150-500人,B轮,开发|测试|运维类,本科,"弹性工作,扁平管理,年度体检",8k-15k,应届毕业生
北京卡拉卡尔科技股份有限公司,高新区,10:39发布,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']",150-500人,不需要融资,开发|测试|运维类,本科,"五险一金,弹性上班,节日福利,年终奖",4k-6k,应届毕业生
四川天信恒讯科技有限公司,锦江区,08:53发布,"['""""']",50-150人,天使轮,开发|测试|运维类,大专,"双休,应届毕业生,提供住宿,全勤奖",4k-6k,应届毕业生
成都忠源电子科技有限公司,高新区,3天前发布,"['""""']",50-150人,未融资,开发|测试|运维类,大专,"五险一金,朝九晚六,带薪年假,周末双休",5k-8k,应届毕业生
广州微啸网络科技有限公司,高新区,09:28发布,"['""""']",50-150人,未融资,开发|测试|运维类,不限,"五险一金,带薪年假,周末双休,出国旅游",5k-8k,应届毕业生
成都聚思力信息技术有限公司,高新区,3天前发布,"['绩效奖金', '带薪年假', '交通补助', '午餐补助']",500-2000人,上市公司,开发|测试|运维类,本科,"六险一金,周末双休,java",3k-5k,应届毕业生
北京中油瑞飞信息技术有限责任公司,高新区,10:04发布,"['技能培训', '岗位晋升', '管理规范', '通讯津贴']",2000人以上,不需要融资,开发|测试|运维类,本科,"六险一金,医疗保险,绩效奖金,通讯补贴",6k-8k,应届毕业生
成都怪狗软件有限公司,青羊区,11:46发布,"['""""']",50-150人,未融资,开发|测试|运维类,大专,"年底双薪,周末双休",5k-8k,应届毕业生
成都生活之家装饰设计有限公司,武侯区,17:57发布,"['""""']",50-150人,不需要融资,开发|测试|运维类,不限,"不加班,提成绩效,聚餐聚会",3k-6k,应届毕业生
四川鼎华共创建筑装饰工程有限公司,高新区,2018-09-06,"['""""']",150-500人,不需要融资,开发|测试|运维类,本科,"五险一金,带薪年假,朝九晚六,周末双休",10k-20k,应届毕业生
成都京蜀文化传播有限公司,锦江区,3天前发布,"['""""']",15-50人,未融资,开发|测试|运维类,大专,"毕业生,应届生,提供住宿",3k-6k,应届毕业生
重庆宏雅教育信息咨询服务有限公司,锦江区,2天前发布,"['""""']",50-150人,天使轮,开发|测试|运维类,不限,"Java,应届生,实习生,包住",3k-6k,应届毕业生
