公司名称,公司所在地,发布时间,公司福利,公司规模,融资情况,职位类型,学历要求,职位福利,薪资,工作经验要求
广东益泰达科技发展有限公司,武侯区,17:27发布,"['年底双薪', '绩效奖金', '带薪年假', '扁平管理']",50-150人,未融资,开发|测试|运维类,本科,"周末双休,有薪年假",1k-2k,不限
四川希梦网络科技有限公司,武侯区,09:43发布,"['购买社保', '弹性工作', '扁平管理', '领导好']",少于15人,A轮,开发|测试|运维类,本科,"有留用机会,弹性工作,项目奖金,氛围好",3k-4k,应届毕业生
四川长虹电器股份有限公司,高新区,09:29发布,"['绩效奖金', '管理规范', '定期体检', '五险一金']",2000人以上,上市公司,开发|测试|运维类,本科,实习,1k-2k,应届毕业生
新电信息科技（成都）有限公司,高新区,17:29发布,"['技能培训', '带薪年假', '绩效奖金', '扁平管理']",500-2000人,不需要融资,开发|测试|运维类,本科,"五险一金,专业培训,补充医疗保,出国机会",1k-2k,应届毕业生
四川焱飞科技有限公司,金牛区,3天前发布,[],15-50人,不需要融资,开发|测试|运维类,本科,"晋升空间大,福利待遇好",2k-3k,应届毕业生
成都鸟人信息技术有限公司,高新区,10:15发布,"['扁平管理', '领导好', '管理规范', '岗位晋升']",50-150人,A轮,开发|测试|运维类,大专,"学习机会多,能转正",1k-2k,应届毕业生
成都聚思力信息技术有限公司,高新区,09:08发布,"['绩效奖金', '带薪年假', '交通补助', '午餐补助']",500-2000人,上市公司,开发|测试|运维类,本科,"转正机会,餐补交通补,弹性工作制",3k-5k,不限
成都舍得软件开发有限公司,成华区,09:28发布,"['绩效奖金', '带薪年假', '周末双休', '带薪病假']",15-50人,不需要融资,开发|测试|运维类,本科,"舒适的环境,人性化管理,交通便利",2k-4k,应届毕业生
成都天堂云科技有限公司,高新区,2018-09-04,"['""""']",15-50人,未融资,开发|测试|运维类,本科,五险一金、周末双休、定期团建、不打卡,3K-4K,不限
成都菲尼克斯互娱科技有限公司,高新区,14:37发布,"['股票期权', '定期体检', '带薪年假', '专项奖金']",15-50人,未融资,开发|测试|运维类,不限,"一对一导师,租房补贴,项目实战,毕业转正",3k-6k,应届毕业生
成都小么科技有限公司,锦江区,2018-08-25,[],15-50人,未融资,开发|测试|运维类,不限,"可转正,待遇好,环境好",2k-3k,不限
北京致远互联软件股份有限公司,高新区,2018-08-13,"['五险一金', '股票期权', '绩效奖金', '专项奖金']",500-2000人,不需要融资,开发|测试|运维类,本科,"平台大,牛人多,有转正机会,学习型团队",2k-3k,应届毕业生
成都优望达科技有限公司,,2018-09-05,"['技能培训', '股票期权', '专项奖金', '带薪年假']",少于15人,未融资,开发|测试|运维类,大专,有实力就任性，与阿里技术牛人共同办公成长,2K-4K,不限
成都优普德信息技术有限公司,高新区,2018-08-20,"['年底双薪', '股票期权', '带薪年假', '绩效奖金']",15-50人,未融资,开发|测试|运维类,本科,项目多,2k-4k,应届毕业生
成都酷云科技有限公司,高新区,2018-09-03,[],少于15人,不需要融资,开发|测试|运维类,大专,"周末双休,专业培训,节日福利",2k-3k,应届毕业生
广东益泰达科技发展有限公司,武侯区,17:27发布,"['年底双薪', '绩效奖金', '带薪年假', '扁平管理']",50-150人,未融资,开发|测试|运维类,本科,"周末双休,有薪年假",1k-2k,不限
四川希梦网络科技有限公司,武侯区,09:43发布,"['购买社保', '弹性工作', '扁平管理', '领导好']",少于15人,A轮,开发|测试|运维类,本科,"有留用机会,弹性工作,项目奖金,氛围好",3k-4k,应届毕业生
四川长虹电器股份有限公司,高新区,09:29发布,"['绩效奖金', '管理规范', '定期体检', '五险一金']",2000人以上,上市公司,开发|测试|运维类,本科,实习,1k-2k,应届毕业生
新电信息科技（成都）有限公司,高新区,17:29发布,"['技能培训', '带薪年假', '绩效奖金', '扁平管理']",500-2000人,不需要融资,开发|测试|运维类,本科,"五险一金,专业培训,补充医疗保,出国机会",1k-2k,应届毕业生
四川焱飞科技有限公司,金牛区,3天前发布,[],15-50人,不需要融资,开发|测试|运维类,本科,"晋升空间大,福利待遇好",2k-3k,应届毕业生
成都鸟人信息技术有限公司,高新区,10:15发布,"['扁平管理', '领导好', '管理规范', '岗位晋升']",50-150人,A轮,开发|测试|运维类,大专,"学习机会多,能转正",1k-2k,应届毕业生
成都聚思力信息技术有限公司,高新区,09:08发布,"['绩效奖金', '带薪年假', '交通补助', '午餐补助']",500-2000人,上市公司,开发|测试|运维类,本科,"转正机会,餐补交通补,弹性工作制",3k-5k,不限
成都舍得软件开发有限公司,成华区,09:28发布,"['绩效奖金', '带薪年假', '周末双休', '带薪病假']",15-50人,不需要融资,开发|测试|运维类,本科,"舒适的环境,人性化管理,交通便利",2k-4k,应届毕业生
